,City,TotalDays,PoorDays,AQIMedian,Zone,City,TotalDays,PoorDays,AQImedian,Zone
0,Seattle,365,3,41,west,Seattle,306,14,42,west
1,San Francisco,365,14,48,west,San Francisco,314,22,45,west
2,Los Angeles,365,115,77,west,Los Angeles,275,119,81,west
3,Denver,365,38,61,mountain,Denver,366,34,58,mountain
4,Salt Lake City,365,24,51,mountain,Salt Lake City,366,21,50,mountain
5,Phoenix,365,58,74,mountain,Phoenix,366,70,75,mountain
6,Chicago,365,43,71,central,Chicago,366,28,56,central
7,St. Louis,365,103,74,central,St. Louis,366,10,52,central
8,Dallas,365,28,52,central,Dallas,306,24,49,central
9,Boston,365,10,47,east,Boston,306,0,42,east
10,Washington D.C.,365,50,55,east,Washington D.C.,366,3,42,east
11,Miami,365,6,48,east,Miami,275,2,44,east
